,"activity, %"
ARHGAP22,0
Actin_BR,62
Actin_ST,40
Arp2_3,62
CP,36
Cdc42,51
Cofilin,3
Coronin,0
Cortactin,62
Dia1,0
Dia2,51
Ena_Vasp,75
IRSp53_Cdc42,51
IRSp53_Rac1,62
LIMK,66
NET1,34
PAK,66
PIP2,48
PKD,0
Profilin,81
ROCK,0
ROS,62
Rac1,62
RhoA,0
SSH,0
Thymosin,39
WASP,59
WAVE,73
