,"activity, %"
Actin_BR,15
Actin_ST,18
Arp2_3,15
CP,50
Cdc42,50
Cofilin,0
Coronin,16
Cortactin,24
Dia1,39
Dia2,87
Ena_Vasp,98
IRSp53,54
LIMK,84
PAK,98
PIP2,50
PKD,73
Profilin,18
ROCK,73
ROCK_,73
Rac1,24
RhoA,77
SSH,16
Thymosin,100
WASP,0
WAVE,24
