,"activity, %"
ARHGAP22,66
Actin_BR,48
Actin_ST,74
Arp2_3,48
CP,22
Cdc42,48
Cofilin,30
Coronin,22
Cortactin,31
Dia1,57
Dia2,90
Ena_Vasp,98
IRSp53_Cdc42,48
IRSp53_Rac1,32
LIMK,78
NET1,0
PAK,59
PIP2,51
PKD,66
Profilin,95
ROCK,66
ROS,32
Rac1,32
RhoA,68
SSH,22
Thymosin,41
WASP,58
WAVE,46
