,"activity, %"
ARHGAP22,100
Actin_BR,28
Actin_ST,65
Arp2_3,28
CP,50
Cdc42,49
Cofilin,19
Coronin,0
Cortactin,0
Dia1,50
Dia2,100
Ena_Vasp,100
IRSp53_Cdc42,49
IRSp53_Rac1,0
LIMK,100
NET1,51
PAK,49
PIP2,50
PKD,100
Profilin,65
ROCK,100
ROS,0
Rac1,0
RhoA,100
SSH,0
Thymosin,48
WASP,52
WAVE,0
