,"activity, %"
ARHGAP22,0
Actin_BR,86
Actin_ST,48
Arp2_3,86
CP,47
Cdc42,47
Cofilin,77
Coronin,76
Cortactin,87
Dia1,13
Dia2,67
Ena_Vasp,93
IRSp53_Cdc42,47
IRSp53_Rac1,88
LIMK,0
NET1,10
PAK,89
PIP2,51
PKD,16
Profilin,99
ROCK,16
ROS,88
Rac1,88
RhoA,20
SSH,76
Thymosin,15
WASP,85
WAVE,99
