,"activity, %"
ARHGAP22,20
Actin_BR,53
Actin_ST,72
Arp2_3,53
CP,51
Cdc42,52
Cofilin,63
Coronin,66
Cortactin,53
Dia1,9
Dia2,74
Ena_Vasp,96
IRSp53_Cdc42,52
IRSp53_Rac1,0
LIMK,0
NET1,33
PAK,67
PIP2,50
PKD,20
Profilin,82
ROCK,20
ROS,53
Rac1,53
RhoA,22
SSH,66
Thymosin,16
WASP,80
WAVE,53
