,"activity, %"
ARHGAP22,17
Actin_BR,53
Actin_ST,31
Arp2_3,53
CP,53
Cdc42,53
Cofilin,58
Coronin,65
Cortactin,53
Dia1,19
Dia2,72
Ena_Vasp,0
IRSp53_Cdc42,53
IRSp53_Rac1,0
LIMK,32
NET1,32
PAK,68
PIP2,48
PKD,17
Profilin,90
ROCK,17
ROS,53
Rac1,53
RhoA,19
SSH,65
Thymosin,21
WASP,77
WAVE,53
