,"activity, %"
Actin_BR,24
Actin_ST,45
Arp2_3,24
CP,49
Cdc42,0
Cofilin,2
Coronin,0
Cortactin,2
Dia1,50
Dia2,100
Ena_Vasp,100
IRSp53,2
LIMK,98
PAK,100
PIP2,51
PKD,98
Profilin,45
ROCK,98
ROCK_,98
Rac1,2
RhoA,98
SSH,2
Thymosin,66
WASP,34
WAVE,2
