,"activity, %"
ARHGAP22,81
Actin_BR,12
Actin_ST,88
Arp2_3,12
CP,5
Cdc42,51
Cofilin,9
Coronin,13
Cortactin,14
Dia1,86
Dia2,97
Ena_Vasp,94
IRSp53_Cdc42,51
IRSp53_Rac1,0
LIMK,87
NET1,45
PAK,55
PIP2,53
PKD,81
Profilin,94
ROCK,81
ROS,14
Rac1,14
RhoA,87
SSH,13
Thymosin,91
WASP,0
WAVE,14
