,"activity, %"
Actin_BR,65
Actin_ST,0
Arp2_3,65
CP,53
Cdc42,50
Cofilin,35
Coronin,55
Cortactin,50
Dia1,23
Dia2,100
Ena_Vasp,72
IRSp53_Cdc42,50
IRSp53_Rac1,50
LIMK,45
PAK,75
PIP2,49
PKD,45
Profilin,0
ROCK,45
Rac1,50
RhoA,50
SSH,55
Thymosin,65
UPSTREAM,50
WASP,0
WAVE,100
