,base,ARHGAP22,ARHGAP22_Arp2_3,ARHGAP22_CP,ARHGAP22_Cdc42,ARHGAP22_Cofilin,ARHGAP22_Coronin,ARHGAP22_Cortactin,ARHGAP22_Dia1,ARHGAP22_Dia2,ARHGAP22_Ena_Vasp,ARHGAP22_IRSp53_Cdc42,ARHGAP22_IRSp53_Rac1,ARHGAP22_LIMK,ARHGAP22_NET1,ARHGAP22_PAK,ARHGAP22_PIP2,ARHGAP22_PKD,ARHGAP22_Profilin,ARHGAP22_ROCK,ARHGAP22_ROS,ARHGAP22_Rac1,ARHGAP22_RhoA,ARHGAP22_SSH,ARHGAP22_Thymosin,ARHGAP22_WASP,ARHGAP22_WAVE,Arp2_3,Arp2_3_CP,Arp2_3_Cdc42,Arp2_3_Cofilin,Arp2_3_Coronin,Arp2_3_Cortactin,Arp2_3_Dia1,Arp2_3_Dia2,Arp2_3_Ena_Vasp,Arp2_3_IRSp53_Cdc42,Arp2_3_IRSp53_Rac1,Arp2_3_LIMK,Arp2_3_NET1,Arp2_3_PAK,Arp2_3_PIP2,Arp2_3_PKD,Arp2_3_Profilin,Arp2_3_ROCK,Arp2_3_ROS,Arp2_3_Rac1,Arp2_3_RhoA,Arp2_3_SSH,Arp2_3_Thymosin,Arp2_3_WASP,Arp2_3_WAVE,CP,CP_Cdc42,CP_Cofilin,CP_Coronin,CP_Cortactin,CP_Dia1,CP_Dia2,CP_Ena_Vasp,CP_IRSp53_Cdc42,CP_IRSp53_Rac1,CP_LIMK,CP_NET1,CP_PAK,CP_PIP2,CP_PKD,CP_Profilin,CP_ROCK,CP_ROS,CP_Rac1,CP_RhoA,CP_SSH,CP_Thymosin,CP_WASP,CP_WAVE,Cdc42,Cdc42_Cofilin,Cdc42_Coronin,Cdc42_Cortactin,Cdc42_Dia1,Cdc42_Dia2,Cdc42_Ena_Vasp,Cdc42_IRSp53_Cdc42,Cdc42_IRSp53_Rac1,Cdc42_LIMK,Cdc42_NET1,Cdc42_PAK,Cdc42_PIP2,Cdc42_PKD,Cdc42_Profilin,Cdc42_ROCK,Cdc42_ROS,Cdc42_Rac1,Cdc42_RhoA,Cdc42_SSH,Cdc42_Thymosin,Cdc42_WASP,Cdc42_WAVE,Cofilin,Cofilin_Coronin,Cofilin_Cortactin,Cofilin_Dia1,Cofilin_Dia2,Cofilin_Ena_Vasp,Cofilin_IRSp53_Cdc42,Cofilin_IRSp53_Rac1,Cofilin_LIMK,Cofilin_NET1,Cofilin_PAK,Cofilin_PIP2,Cofilin_PKD,Cofilin_Profilin,Cofilin_ROCK,Cofilin_ROS,Cofilin_Rac1,Cofilin_RhoA,Cofilin_SSH,Cofilin_Thymosin,Cofilin_WASP,Cofilin_WAVE,Coronin,Coronin_Cortactin,Coronin_Dia1,Coronin_Dia2,Coronin_Ena_Vasp,Coronin_IRSp53_Cdc42,Coronin_IRSp53_Rac1,Coronin_LIMK,Coronin_NET1,Coronin_PAK,Coronin_PIP2,Coronin_PKD,Coronin_Profilin,Coronin_ROCK,Coronin_ROS,Coronin_Rac1,Coronin_RhoA,Coronin_SSH,Coronin_Thymosin,Coronin_WASP,Coronin_WAVE,Cortactin,Cortactin_Dia1,Cortactin_Dia2,Cortactin_Ena_Vasp,Cortactin_IRSp53_Cdc42,Cortactin_IRSp53_Rac1,Cortactin_LIMK,Cortactin_NET1,Cortactin_PAK,Cortactin_PIP2,Cortactin_PKD,Cortactin_Profilin,Cortactin_ROCK,Cortactin_ROS,Cortactin_Rac1,Cortactin_RhoA,Cortactin_SSH,Cortactin_Thymosin,Cortactin_WASP,Cortactin_WAVE,Dia1,Dia1_Dia2,Dia1_Ena_Vasp,Dia1_IRSp53_Cdc42,Dia1_IRSp53_Rac1,Dia1_LIMK,Dia1_NET1,Dia1_PAK,Dia1_PIP2,Dia1_PKD,Dia1_Profilin,Dia1_ROCK,Dia1_ROS,Dia1_Rac1,Dia1_RhoA,Dia1_SSH,Dia1_Thymosin,Dia1_WASP,Dia1_WAVE,Dia2,Dia2_Ena_Vasp,Dia2_IRSp53_Cdc42,Dia2_IRSp53_Rac1,Dia2_LIMK,Dia2_NET1,Dia2_PAK,Dia2_PIP2,Dia2_PKD,Dia2_Profilin,Dia2_ROCK,Dia2_ROS,Dia2_Rac1,Dia2_RhoA,Dia2_SSH,Dia2_Thymosin,Dia2_WASP,Dia2_WAVE,Ena_Vasp,Ena_Vasp_IRSp53_Cdc42,Ena_Vasp_IRSp53_Rac1,Ena_Vasp_LIMK,Ena_Vasp_NET1,Ena_Vasp_PAK,Ena_Vasp_PIP2,Ena_Vasp_PKD,Ena_Vasp_Profilin,Ena_Vasp_ROCK,Ena_Vasp_ROS,Ena_Vasp_Rac1,Ena_Vasp_RhoA,Ena_Vasp_SSH,Ena_Vasp_Thymosin,Ena_Vasp_WASP,Ena_Vasp_WAVE,IRSp53_Cdc42,IRSp53_Cdc42_IRSp53_Rac1,IRSp53_Cdc42_LIMK,IRSp53_Cdc42_NET1,IRSp53_Cdc42_PAK,IRSp53_Cdc42_PIP2,IRSp53_Cdc42_PKD,IRSp53_Cdc42_Profilin,IRSp53_Cdc42_ROCK,IRSp53_Cdc42_ROS,IRSp53_Cdc42_Rac1,IRSp53_Cdc42_RhoA,IRSp53_Cdc42_SSH,IRSp53_Cdc42_Thymosin,IRSp53_Cdc42_WASP,IRSp53_Cdc42_WAVE,IRSp53_Rac1,IRSp53_Rac1_LIMK,IRSp53_Rac1_NET1,IRSp53_Rac1_PAK,IRSp53_Rac1_PIP2,IRSp53_Rac1_PKD,IRSp53_Rac1_Profilin,IRSp53_Rac1_ROCK,IRSp53_Rac1_ROS,IRSp53_Rac1_Rac1,IRSp53_Rac1_RhoA,IRSp53_Rac1_SSH,IRSp53_Rac1_Thymosin,IRSp53_Rac1_WASP,IRSp53_Rac1_WAVE,LIMK,LIMK_NET1,LIMK_PAK,LIMK_PIP2,LIMK_PKD,LIMK_Profilin,LIMK_ROCK,LIMK_ROS,LIMK_Rac1,LIMK_RhoA,LIMK_SSH,LIMK_Thymosin,LIMK_WASP,LIMK_WAVE,NET1,NET1_PAK,NET1_PIP2,NET1_PKD,NET1_Profilin,NET1_ROCK,NET1_ROS,NET1_Rac1,NET1_RhoA,NET1_SSH,NET1_Thymosin,NET1_WASP,NET1_WAVE,PAK,PAK_PIP2,PAK_PKD,PAK_Profilin,PAK_ROCK,PAK_ROS,PAK_Rac1,PAK_RhoA,PAK_SSH,PAK_Thymosin,PAK_WASP,PAK_WAVE,PIP2,PIP2_PKD,PIP2_Profilin,PIP2_ROCK,PIP2_ROS,PIP2_Rac1,PIP2_RhoA,PIP2_SSH,PIP2_Thymosin,PIP2_WASP,PIP2_WAVE,PKD,PKD_Profilin,PKD_ROCK,PKD_ROS,PKD_Rac1,PKD_RhoA,PKD_SSH,PKD_Thymosin,PKD_WASP,PKD_WAVE,Profilin,Profilin_ROCK,Profilin_ROS,Profilin_Rac1,Profilin_RhoA,Profilin_SSH,Profilin_Thymosin,Profilin_WASP,Profilin_WAVE,ROCK,ROCK_ROS,ROCK_Rac1,ROCK_RhoA,ROCK_SSH,ROCK_Thymosin,ROCK_WASP,ROCK_WAVE,ROS,ROS_Rac1,ROS_RhoA,ROS_SSH,ROS_Thymosin,ROS_WASP,ROS_WAVE,Rac1,Rac1_RhoA,Rac1_SSH,Rac1_Thymosin,Rac1_WASP,Rac1_WAVE,RhoA,RhoA_SSH,RhoA_Thymosin,RhoA_WASP,RhoA_WAVE,SSH,SSH_Thymosin,SSH_WASP,SSH_WAVE,Thymosin,Thymosin_WASP,Thymosin_WAVE,WASP,WASP_WAVE,WAVE,mean
Dia2,96,68,69,57,37,67,65,71,94,0,74,69,69,67,69,100,74,68,64,65,100,100,51,63,64,77,64,97,96,95,98,100,98,100,0,98,97,97,97,87,100,98,85,98,71,100,100,52,100,98,98,98,96,91,96,100,96,99,0,95,96,96,96,82,100,95,72,95,60,100,100,52,100,95,96,95,93,93,99,93,97,0,94,94,93,93,78,100,94,55,93,38,100,100,0,100,93,94,92,96,100,96,99,0,96,96,96,96,90,100,97,80,97,71,100,100,49,100,96,97,94,100,100,100,0,99,100,100,100,93,100,100,100,99,63,100,100,52,100,100,100,99,97,99,0,96,97,97,96,89,100,97,76,96,69,100,100,53,100,96,95,94,98,0,99,99,99,99,97,100,99,99,98,95,100,100,50,100,99,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,97,97,96,100,97,81,97,73,100,100,48,100,97,97,96,96,97,96,90,100,97,78,96,69,100,100,51,100,96,97,95,96,97,90,100,97,80,95,68,100,100,49,100,97,97,95,96,89,100,97,79,96,69,100,100,48,100,96,97,95,90,86,95,74,90,68,100,100,48,93,90,93,87,100,100,100,100,100,100,100,48,100,100,100,100,96,82,96,75,100,100,50,100,97,97,96,80,79,69,100,100,50,100,77,85,72,97,64,100,100,51,100,96,97,95,66,100,100,49,63,66,80,64,100,100,49,100,100,100,100,100,52,100,100,100,100,46,51,50,50,50,100,100,100,100,96,97,95,97,97,95,82.28693181818181
Ena_Vasp,99,91,73,92,85,80,92,88,98,92,0,87,92,93,92,99,98,93,92,92,100,98,87,83,100,64,81,98,97,96,97,100,98,97,98,0,94,98,98,92,99,98,72,98,76,99,97,68,100,99,96,98,99,99,97,100,99,99,99,0,96,99,99,94,100,100,82,99,93,99,98,84,100,100,94,97,99,93,100,97,97,98,0,99,98,98,96,99,99,65,99,87,99,94,67,100,100,87,97,97,100,95,98,97,0,92,97,97,94,98,96,68,97,72,98,97,67,100,100,95,94,100,100,100,100,0,97,100,100,98,100,100,67,100,91,100,100,80,100,100,100,99,98,97,98,0,96,98,98,95,100,99,77,99,83,99,97,73,100,99,93,94,99,99,0,98,99,99,99,98,99,75,99,84,99,98,83,100,99,96,98,99,0,97,99,99,98,99,100,83,100,93,100,98,82,100,100,93,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,97,95,98,100,76,96,87,99,97,77,97,100,82,96,99,99,98,99,100,80,98,92,100,97,80,100,100,94,98,99,98,99,100,82,100,93,100,97,81,100,100,94,97,98,90,99,84,98,93,100,97,83,98,100,90,94,99,100,79,99,77,99,98,65,100,100,96,99,100,75,100,100,100,95,75,100,100,94,100,82,85,93,81,66,83,66,88,51,71,100,94,100,98,87,100,100,94,98,93,92,67,85,77,100,51,84,100,98,84,100,100,96,99,98,68,100,98,96,97,80,75,88,50,75,100,100,100,100,100,94,100,94,94,97,86.47443181818181
IRSp53_Cdc42,50,50,49,47,0,49,49,52,50,50,54,0,50,47,53,48,49,50,49,46,54,49,51,49,50,49,45,49,50,0,48,49,51,51,51,52,0,50,51,50,49,45,52,50,52,50,47,52,51,48,51,52,49,0,49,51,51,50,50,50,0,50,53,50,49,50,49,50,50,49,51,52,52,49,49,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,49,55,52,48,0,50,49,52,53,50,49,51,51,49,51,49,49,49,52,48,51,50,50,51,49,0,48,50,50,50,49,52,52,47,49,51,52,50,49,50,55,50,50,49,51,0,51,50,49,49,51,52,51,48,51,49,53,50,49,50,48,50,52,48,0,49,51,47,49,53,53,51,47,50,49,50,51,49,51,52,52,50,0,49,51,50,50,50,51,48,50,48,53,50,50,50,49,50,49,0,48,50,53,49,52,50,48,51,54,49,48,50,52,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,50,52,50,49,50,49,50,50,51,49,51,49,51,46,50,50,46,50,50,50,52,50,49,48,50,52,51,48,48,48,48,53,52,51,50,51,48,50,49,51,48,50,48,50,50,47,51,52,48,52,48,51,51,50,50,51,49,47,47,50,50,49,52,48,52,53,52,51,48,50,50,48,51,45,47,48,50,50,51,50,50,50,50,49,53,49,49,49,52,51,48,50,52,49,48,50,50,51,51,52,47,50,48,49,46,51,50,50,50,52,50,47,50,48,53,50,48,47,47,42.67329545454545
IRSp53_Rac1,25,88,44,92,81,80,91,78,62,87,87,87,0,88,82,100,88,90,93,89,95,0,67,92,93,54,64,15,17,5,13,10,15,0,15,15,14,0,15,26,8,14,32,14,45,8,0,0,11,15,15,14,28,11,25,18,26,16,30,28,28,0,29,41,8,28,74,30,93,7,0,62,18,29,20,19,11,10,1,8,6,12,10,9,0,10,22,11,10,51,10,80,7,0,28,0,10,9,8,20,13,20,14,21,17,20,0,21,26,8,19,54,25,81,7,0,46,13,30,11,14,15,15,10,15,11,15,0,16,23,0,12,15,16,92,0,0,64,14,16,7,14,23,15,21,20,22,0,23,32,10,22,57,28,77,6,0,47,13,27,12,15,18,17,15,15,0,17,16,0,18,36,22,61,5,0,59,9,22,3,8,22,21,26,0,25,32,8,22,65,26,90,8,0,59,13,28,14,20,21,20,0,20,23,7,22,58,23,88,6,0,58,9,27,8,15,24,0,27,30,9,19,65,28,90,8,0,60,13,29,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,31,9,24,65,29,91,10,0,59,15,30,15,17,32,25,22,70,35,82,7,0,58,21,36,17,24,9,8,50,8,100,8,0,0,0,9,9,9,22,59,25,87,6,0,62,10,26,10,15,65,71,91,50,0,59,13,68,42,46,26,92,7,0,65,15,29,19,22,91,94,0,63,92,93,59,69,8,0,60,0,8,8,8,0,0,0,0,0,0,57,62,64,20,32,13,17,6,11,28,17,23,13,12,16,27.0
LIMK,81,21,70,13,40,24,25,29,51,23,27,24,32,0,24,91,26,0,19,0,92,92,1,100,19,47,31,89,87,91,92,100,90,91,90,91,91,91,0,88,92,91,19,91,0,92,92,36,100,89,92,91,79,88,82,94,82,83,78,79,80,84,0,79,92,80,13,77,0,93,92,2,100,79,88,85,86,86,99,89,87,86,87,89,87,0,85,89,88,25,87,0,92,91,0,100,87,87,88,82,96,82,84,82,82,82,84,0,81,92,81,18,80,0,92,92,3,100,76,90,85,95,96,97,95,96,95,97,0,94,100,96,85,95,0,100,100,3,100,96,99,96,82,84,84,82,84,85,0,80,90,83,17,78,0,93,91,4,100,80,88,85,82,83,85,84,86,0,83,91,84,27,79,2,93,93,2,100,82,90,88,84,82,80,84,0,78,92,81,18,78,0,92,93,3,100,79,86,83,81,83,85,0,78,93,82,23,79,0,93,92,2,100,81,88,85,81,85,0,79,91,85,18,77,0,92,91,2,100,77,86,88,85,0,83,91,82,18,81,0,91,93,3,100,83,87,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,89,78,14,73,0,93,91,2,100,76,88,84,91,92,28,92,0,92,91,0,100,91,91,91,80,22,80,0,93,92,1,100,80,87,87,19,16,0,27,57,2,100,17,22,18,79,0,93,93,1,100,78,83,83,0,0,35,2,93,0,0,0,92,92,2,100,92,91,91,92,41,100,92,92,92,2,66,0,15,4,100,100,100,100,78,84,82,87,90,86,63.48295454545455
NET1,45,10,15,6,19,10,8,10,32,10,10,10,10,10,0,100,12,9,7,10,4,51,30,7,7,16,10,48,45,94,49,51,46,49,45,45,48,47,46,0,100,52,31,47,14,45,53,48,49,49,47,46,45,89,45,49,44,48,43,44,46,44,42,0,100,44,22,44,6,47,49,34,48,45,46,45,89,89,99,91,94,88,90,91,89,90,0,100,90,49,90,20,93,100,72,100,90,91,90,47,52,47,43,44,46,46,44,45,0,100,46,27,44,12,47,49,38,51,45,45,45,49,50,50,48,50,48,51,50,0,100,51,48,47,8,51,49,33,50,51,50,45,45,48,46,45,46,44,45,0,100,44,23,43,11,45,51,40,50,46,44,45,47,46,49,49,48,47,0,100,45,41,45,35,49,51,36,48,48,48,47,45,46,43,45,44,0,100,45,25,47,9,49,47,37,50,45,46,43,46,45,48,45,0,100,43,28,47,11,44,51,38,49,44,45,43,46,48,41,0,100,48,25,44,9,49,50,36,48,44,46,48,47,46,0,100,46,26,44,10,46,49,38,49,47,45,48,44,0,100,45,26,44,9,45,51,38,50,42,45,46,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,45,29,43,13,49,53,36,50,46,43,48,25,23,8,26,52,36,50,26,31,25,47,8,47,50,33,49,45,45,44,9,6,51,33,7,7,17,9,47,48,37,52,46,46,45,49,48,53,50,52,51,39,34,35,41,42,48,49,53,50,47,43,44,47,49,46,43.93181818181818
PAK,55,90,69,93,81,87,92,83,68,89,89,89,89,89,84,0,88,91,93,90,96,49,70,93,93,78,74,51,53,5,50,49,54,51,54,54,51,52,53,63,0,48,61,52,71,55,47,52,51,51,53,53,55,11,55,51,55,52,57,56,54,56,58,68,0,56,78,56,94,53,51,66,52,55,54,53,11,10,1,8,6,12,10,9,11,10,22,0,10,51,10,80,7,0,28,0,10,9,8,53,48,52,57,56,54,54,56,55,61,0,54,69,56,88,53,51,62,49,55,54,51,51,50,50,52,50,52,48,50,57,0,49,52,53,92,49,51,67,50,49,50,55,54,52,53,54,53,55,54,60,0,56,72,57,83,55,49,60,50,54,52,50,53,54,51,51,52,53,50,0,55,59,55,65,51,49,64,52,52,52,53,55,54,56,55,56,60,0,55,75,53,91,51,53,63,50,55,54,55,54,55,52,55,57,0,57,72,53,89,56,49,62,51,56,55,55,54,52,59,59,0,52,75,56,91,51,50,64,52,56,54,50,53,54,61,0,54,74,54,90,54,51,62,51,53,55,50,56,61,0,55,74,56,91,55,49,62,50,58,55,52,59,0,52,79,62,83,54,51,62,56,60,58,59,0,0,0,0,0,0,0,0,0,0,0,0,55,71,57,87,51,47,64,50,54,57,52,75,77,92,74,48,64,50,74,67,63,53,92,53,50,67,51,55,55,55,91,94,49,67,93,93,83,80,53,52,63,48,54,54,55,51,52,47,50,48,49,61,66,65,59,58,52,51,47,50,53,57,56,53,50,51,52.4375
PIP2,49,50,38,50,48,48,52,45,48,48,52,50,49,51,48,52,0,52,48,51,51,51,50,49,49,47,38,49,48,50,51,52,46,50,53,47,48,48,50,50,49,0,44,46,41,49,50,50,50,52,50,51,53,50,52,52,51,51,49,51,49,50,51,49,49,0,49,48,51,49,53,50,51,51,48,48,49,50,51,46,50,49,52,50,49,47,52,49,0,51,50,49,52,52,52,50,48,51,50,52,46,48,50,49,51,51,51,50,50,47,0,50,49,49,49,49,51,50,48,51,47,49,51,49,47,50,51,50,50,50,50,0,51,51,49,53,48,50,48,50,49,48,49,50,46,48,50,49,50,51,52,0,46,49,44,50,51,51,50,51,50,48,51,47,50,51,51,49,48,49,0,50,48,51,48,54,49,50,51,48,49,49,50,50,46,49,51,49,0,48,48,48,46,51,51,51,52,49,53,51,48,46,49,50,50,0,47,50,49,50,49,52,49,53,50,48,52,49,49,51,52,0,51,50,49,50,52,49,49,52,47,49,50,49,49,51,0,48,46,49,52,50,48,50,50,53,46,51,50,50,0,49,51,49,50,49,50,51,53,52,48,51,51,0,50,49,49,50,50,50,51,49,49,47,50,0,51,51,49,54,49,51,52,51,51,51,0,0,0,0,0,0,0,0,0,0,0,51,50,50,50,49,50,48,49,50,37,49,49,50,51,49,50,48,52,49,48,48,51,50,49,48,48,40,50,48,52,48,49,47,50,50,51,49,50,49,51,47,48,50,49,50,51,49,50,51,52,48,51,46,51,47,45.83238636363637
PKD,74,14,40,8,27,16,17,19,46,15,18,16,20,16,14,91,18,0,13,0,92,92,0,15,13,30,19,80,77,91,83,90,80,91,80,81,81,82,79,68,92,82,0,82,0,92,92,0,89,80,82,81,72,88,72,82,72,80,70,71,71,74,70,57,92,71,0,69,0,93,92,0,82,70,77,75,86,86,99,89,87,86,87,89,87,88,74,89,88,0,87,0,92,91,0,100,87,87,88,77,87,76,81,76,79,77,77,76,70,92,78,0,73,0,92,92,0,87,68,84,79,85,85,90,85,89,85,87,84,77,100,88,0,84,0,100,100,0,86,84,93,85,74,79,76,77,76,77,75,66,90,77,0,70,0,93,91,0,87,72,80,76,79,79,81,81,82,80,80,91,79,0,76,0,93,93,0,91,75,90,85,77,78,73,76,74,66,92,77,0,72,0,92,93,0,87,71,81,75,77,79,81,78,74,93,77,0,75,0,93,92,0,91,72,88,80,74,79,72,67,91,80,0,71,0,92,91,0,87,69,82,81,78,76,70,91,77,0,74,0,91,93,0,87,74,81,79,73,66,91,75,0,70,0,90,92,0,85,68,82,78,66,69,75,0,62,0,93,91,0,78,62,78,69,91,92,0,92,0,92,91,0,100,91,91,91,76,0,74,0,93,92,0,90,73,87,83,0,0,0,0,0,0,0,0,0,0,72,0,93,93,0,85,70,78,76,0,0,0,0,0,0,0,0,92,92,0,100,92,91,91,92,0,100,92,92,92,0,0,0,0,0,87,83,94,88,70,79,73,83,82,79,61.32954545454545
Profilin,97,99,79,99,99,96,100,92,82,99,98,98,97,99,95,100,100,100,0,100,100,99,86,100,100,85,75,96,95,98,96,97,97,49,96,96,96,96,96,92,100,97,90,0,82,100,100,52,97,100,91,95,98,100,97,98,97,56,98,98,98,98,99,92,100,98,100,0,100,100,100,81,98,100,92,94,100,100,100,99,39,100,100,100,100,100,97,100,100,100,0,100,100,100,67,100,100,99,98,95,95,93,53,95,94,95,96,96,93,100,94,94,0,97,97,98,74,96,100,94,88,96,97,54,96,94,96,96,99,95,100,95,98,0,100,98,98,82,95,100,96,94,96,55,96,93,96,96,97,94,100,96,93,0,92,99,99,68,95,100,90,90,58,58,55,56,58,60,57,52,47,65,0,81,55,55,79,50,78,5,54,96,95,97,97,98,95,100,95,99,0,100,98,98,79,95,100,96,93,95,95,96,97,95,100,95,98,0,100,95,96,79,93,100,99,89,98,97,98,95,100,96,99,0,100,98,98,79,95,100,95,93,97,98,95,100,97,99,0,99,98,98,77,96,100,94,93,98,97,100,99,100,0,100,100,99,79,98,100,95,95,95,91,94,98,0,95,98,98,80,94,100,91,89,100,100,100,0,100,100,100,53,100,100,100,100,96,98,0,100,96,97,73,94,100,100,91,99,0,100,99,98,79,95,100,94,85,0,0,0,0,0,0,0,0,0,100,100,98,82,100,100,91,83,98,98,81,97,100,100,98,98,52,98,100,100,98,78,81,88,36,64,95,100,96,94,100,96,100,96,87,92,85.20738636363636
ROCK,74,14,40,8,27,16,17,19,46,15,18,16,20,16,14,91,18,0,13,0,92,92,0,15,13,30,19,80,77,91,83,90,80,91,80,81,81,82,79,68,92,82,31,82,0,92,92,0,89,80,82,81,72,88,72,82,72,80,70,71,71,74,70,57,92,71,23,69,0,93,92,0,82,70,77,75,86,86,99,89,87,86,87,89,87,88,74,89,88,43,87,0,92,91,0,100,87,87,88,77,87,76,81,76,79,77,77,76,70,92,78,30,73,0,92,92,0,87,68,84,79,85,85,90,85,89,85,87,84,77,100,88,85,84,0,100,100,0,86,84,93,85,74,79,76,77,76,77,75,66,90,77,29,70,0,93,91,0,87,72,80,76,79,79,81,81,82,80,80,91,79,43,76,0,93,93,0,91,75,90,85,77,78,73,76,74,66,92,77,31,72,0,92,93,0,87,71,81,75,77,79,81,78,74,93,77,38,75,0,93,92,0,91,72,88,80,74,79,72,67,91,80,31,71,0,92,91,0,87,69,82,81,78,76,70,91,77,31,74,0,91,93,0,87,74,81,79,73,66,91,75,30,70,0,90,92,0,85,68,82,78,66,69,75,23,62,0,93,91,0,78,62,78,69,91,92,50,92,0,92,91,0,100,91,91,91,76,37,74,0,93,92,0,90,73,87,83,31,26,0,48,83,0,87,29,36,30,72,0,93,93,0,85,70,78,76,0,0,0,0,0,0,0,0,92,92,0,100,92,91,91,92,0,100,92,92,92,0,0,0,0,0,87,83,94,88,70,79,73,83,82,79,63.95738636363637
ROS,25,88,44,92,81,80,91,78,62,87,87,87,82,88,82,100,88,90,93,89,0,0,67,92,93,54,64,15,17,5,13,10,15,0,15,15,14,13,15,26,8,14,32,14,45,0,0,0,11,15,15,14,28,11,25,18,26,16,30,28,28,24,29,41,8,28,74,30,93,0,0,62,18,29,20,19,11,10,1,8,6,12,10,9,11,10,22,11,10,51,10,80,0,0,28,0,10,9,8,20,13,20,14,21,17,20,20,21,26,8,19,54,25,81,0,0,46,13,30,11,14,15,15,10,15,11,15,13,16,23,0,12,15,16,92,0,0,64,14,16,7,14,23,15,21,20,22,20,23,32,10,22,57,28,77,0,0,47,13,27,12,15,18,17,15,15,12,17,16,0,18,36,22,61,0,0,59,9,22,3,8,22,21,26,20,25,32,8,22,65,26,90,0,0,59,13,28,14,20,21,20,16,20,23,7,22,58,23,88,0,0,58,9,27,8,15,24,19,27,30,9,19,65,28,90,0,0,60,13,29,12,15,20,22,26,9,19,55,23,81,0,0,46,13,24,14,16,26,31,9,24,65,29,91,0,0,59,15,30,15,17,32,25,22,70,35,82,0,0,58,21,36,17,24,9,8,50,8,100,0,0,0,0,9,9,9,22,59,25,87,0,0,62,10,26,10,15,65,71,91,0,0,59,13,68,42,46,26,92,0,0,65,15,29,19,22,91,0,0,63,92,93,59,69,0,0,0,0,0,0,0,0,0,0,0,0,0,57,62,64,20,32,13,17,6,11,28,17,23,13,12,16,27.53125
Rac1,25,88,44,92,81,80,91,78,62,87,87,87,82,88,82,100,88,90,93,89,95,0,67,92,93,54,64,15,17,5,13,10,15,0,15,15,14,13,15,26,8,14,32,14,45,8,0,0,11,15,15,14,28,11,25,18,26,16,30,28,28,24,29,41,8,28,74,30,93,7,0,62,18,29,20,19,11,10,1,8,6,12,10,9,11,10,22,11,10,51,10,80,7,0,28,0,10,9,8,20,13,20,14,21,17,20,20,21,26,8,19,54,25,81,7,0,46,13,30,11,14,15,15,10,15,11,15,13,16,23,0,12,15,16,92,0,0,64,14,16,7,14,23,15,21,20,22,20,23,32,10,22,57,28,77,6,0,47,13,27,12,15,18,17,15,15,12,17,16,0,18,36,22,61,5,0,59,9,22,3,8,22,21,26,20,25,32,8,22,65,26,90,8,0,59,13,28,14,20,21,20,16,20,23,7,22,58,23,88,6,0,58,9,27,8,15,24,19,27,30,9,19,65,28,90,8,0,60,13,29,12,15,20,22,26,9,19,55,23,81,8,0,46,13,24,14,16,26,31,9,24,65,29,91,10,0,59,15,30,15,17,32,25,22,70,35,82,7,0,58,21,36,17,24,9,8,50,8,100,8,0,0,0,9,9,9,22,59,25,87,6,0,62,10,26,10,15,65,71,91,50,0,59,13,68,42,46,26,92,7,0,65,15,29,19,22,91,94,0,63,92,93,59,69,8,0,60,0,8,8,8,0,0,0,0,0,0,57,62,64,20,32,13,17,6,11,28,17,23,13,12,16,28.77840909090909
RhoA,76,20,44,12,37,25,17,25,49,21,23,22,27,20,18,100,25,19,15,20,100,100,0,15,15,51,29,85,83,95,87,90,85,100,85,85,86,86,84,74,100,87,63,86,45,100,100,0,89,86,86,85,74,91,76,82,75,85,71,73,73,77,73,59,100,73,27,71,12,100,100,0,82,72,81,79,93,93,99,93,97,92,94,94,93,93,78,100,94,55,93,38,100,100,0,100,93,94,92,81,87,80,87,80,85,81,81,80,74,100,83,47,77,27,100,100,0,87,72,89,83,85,85,90,85,89,85,87,84,77,100,88,85,84,16,100,100,0,86,84,93,85,77,86,79,80,78,80,77,68,100,78,40,74,26,100,100,0,87,75,85,81,84,84,87,86,89,84,84,100,83,68,81,51,100,100,0,91,79,98,93,79,81,76,81,76,68,100,80,38,76,19,100,100,0,87,73,87,79,80,81,86,82,77,100,80,46,79,23,100,100,0,91,75,93,85,77,82,74,69,100,82,39,74,18,100,100,0,87,72,89,84,81,80,73,100,83,48,77,28,100,100,0,87,77,87,83,76,69,100,78,38,73,18,100,100,0,85,71,87,82,68,75,78,30,65,18,100,100,0,78,64,83,74,100,100,100,100,100,100,100,0,100,100,100,100,79,45,77,25,100,100,0,90,75,92,86,38,33,17,100,100,0,87,34,60,44,76,16,100,100,0,85,72,83,78,18,100,100,0,15,14,52,27,100,100,0,100,100,100,100,100,0,100,100,100,100,0,0,0,0,0,87,83,94,88,74,84,78,88,88,83,70.8721590909091
