,"activity, %"
Actin_BR,47
Actin_ST,40
Arp2_3,47
CP,49
Cdc42,51
Cofilin,24
Coronin,8
Cortactin,0
Dia1,0
Dia2,100
Ena_Vasp,98
IRSp53,51
LIMK,92
PAK,96
PIP2,51
PKD,92
Profilin,40
ROCK,92
ROCK_,92
Rac1,0
RhoA,100
SSH,8
Thymosin,46
WASP,52
WAVE,0
