,"activity, %"
ARHGAP22,27
Actin_BR,58
Actin_ST,50
Arp2_3,58
CP,51
Cdc42,47
Cofilin,45
Coronin,0
Cortactin,58
Dia1,10
Dia2,84
Ena_Vasp,93
IRSp53_Cdc42,47
IRSp53_Rac1,58
LIMK,47
NET1,38
PAK,62
PIP2,51
PKD,27
Profilin,55
ROCK,27
ROS,58
Rac1,58
RhoA,27
SSH,49
Thymosin,34
WASP,63
WAVE,0
