,"activity, %"
Actin_BR,54
Actin_ST,61
Arp2_3,54
CP,59
Cdc42,45
Cofilin,58
Coronin,60
Cortactin,0
Dia1,9
Dia2,77
Ena_Vasp,82
IRSp53_Cdc42,45
IRSp53_Rac1,54
LIMK,37
NET1,61
PAK,61
PIP2,39
PKD,21
Profilin,71
ROCK,21
ROCK_,21
ROS,54
Rac1,54
RhoA,25
SSH,60
Thymosin,31
WASP,61
WAVE,66
