,"activity, %"
ARHGAP22,92
Actin_BR,23
Actin_ST,100
Arp2_3,23
CP,0
Cdc42,51
Cofilin,20
Coronin,8
Cortactin,0
Dia1,100
Dia2,100
Ena_Vasp,98
IRSp53_Cdc42,51
IRSp53_Rac1,0
LIMK,92
NET1,49
PAK,51
PIP2,53
PKD,92
Profilin,100
ROCK,92
ROS,0
Rac1,0
RhoA,100
SSH,8
Thymosin,44
WASP,54
WAVE,0
