,"activity, %"
ARHGAP22,92
Actin_BR,0
Actin_ST,60
Arp2_3,0
CP,49
Cdc42,49
Cofilin,0
Coronin,8
Cortactin,4
Dia1,51
Dia2,100
Ena_Vasp,97
IRSp53_Cdc42,49
IRSp53_Rac1,4
LIMK,92
NET1,100
PAK,0
PIP2,51
PKD,92
Profilin,60
ROCK,92
ROS,4
Rac1,4
RhoA,100
SSH,8
Thymosin,52
WASP,48
WAVE,4
