,"activity, %"
Actin_BR,52
Actin_ST,61
Arp2_3,52
CP,49
Cdc42,53
Cofilin,0
Coronin,89
Cortactin,52
Dia1,0
Dia2,52
Ena_Vasp,79
IRSp53,70
LIMK,3
PAK,70
PIP2,51
PKD,0
Profilin,61
ROCK,0
ROCK_,0
Rac1,52
RhoA,0
SSH,89
Thymosin,47
WASP,53
WAVE,52
