,"activity, %"
ARHGAP22,47
Actin_BR,28
Actin_ST,35
Arp2_3,28
CP,51
Cdc42,50
Cofilin,27
Coronin,14
Cortactin,0
Dia1,26
Dia2,50
Ena_Vasp,98
IRSp53_Cdc42,50
IRSp53_Rac1,0
LIMK,86
NET1,50
PAK,50
PIP2,49
PKD,47
Profilin,52
ROCK,47
ROS,0
Rac1,0
RhoA,50
SSH,14
Thymosin,45
WASP,53
WAVE,0
