,"activity, %"
ARHGAP22,57
Actin_BR,58
Actin_ST,90
Arp2_3,58
CP,0
Cdc42,50
Cofilin,31
Coronin,21
Cortactin,41
Dia1,59
Dia2,82
Ena_Vasp,94
IRSp53_Cdc42,50
IRSp53_Rac1,41
LIMK,79
NET1,0
PAK,68
PIP2,49
PKD,57
Profilin,92
ROCK,57
ROS,41
Rac1,41
RhoA,59
SSH,21
Thymosin,37
WASP,62
WAVE,65
