,"activity, %"
Actin_BR,69
Actin_ST,83
Arp2_3,69
CP,49
Cdc42,49
Cofilin,78
Coronin,81
Cortactin,65
Dia1,15
Dia2,92
Ena_Vasp,89
IRSp53,83
LIMK,0
PAK,83
PIP2,51
PKD,0
Profilin,89
ROCK,31
ROCK_,31
Rac1,65
RhoA,35
SSH,81
Thymosin,17
WASP,80
WAVE,65
