,"activity, %"
Actin_BR,55
Actin_ST,27
Arp2_3,55
CP,80
Cdc42,52
Cofilin,36
Coronin,20
Cortactin,0
Dia1,16
Dia2,87
Ena_Vasp,0
IRSp53,59
LIMK,80
PAK,99
PIP2,51
PKD,70
Profilin,65
ROCK,70
ROCK_,70
Rac1,29
RhoA,72
SSH,20
Thymosin,40
WASP,60
WAVE,29
