,"activity, %"
Actin_BR,65
Actin_ST,42
Arp2_3,65
CP,80
Cdc42,50
Cofilin,53
Coronin,54
Cortactin,50
Dia1,0
Dia2,100
Ena_Vasp,0
IRSp53_Cdc42,50
IRSp53_Rac1,50
LIMK,46
PAK,75
PIP2,50
PKD,46
Profilin,94
ROCK,46
Rac1,50
RhoA,50
SSH,54
Thymosin,27
UPSTREAM,50
WASP,73
WAVE,100
