,"activity, %"
ARHGAP22,87
Actin_BR,0
Actin_ST,61
Arp2_3,0
CP,50
Cdc42,51
Cofilin,0
Coronin,0
Cortactin,13
Dia1,37
Dia2,90
Ena_Vasp,98
IRSp53_Cdc42,51
IRSp53_Rac1,13
LIMK,100
NET1,100
PAK,0
PIP2,50
PKD,87
Profilin,61
ROCK,87
ROS,13
Rac1,13
RhoA,87
SSH,0
Thymosin,49
WASP,51
WAVE,26
