,"activity, %"
ARHGAP22,0
Actin_BR,80
Actin_ST,88
Arp2_3,80
CP,60
Cdc42,51
Cofilin,83
Coronin,94
Cortactin,80
Dia1,5
Dia2,100
Ena_Vasp,80
IRSp53_Cdc42,0
IRSp53_Rac1,80
LIMK,1
NET1,19
PAK,81
PIP2,49
PKD,0
Profilin,88
ROCK,0
ROS,80
Rac1,80
RhoA,28
SSH,94
Thymosin,15
WASP,80
WAVE,88
