,"activity, %"
ARHGAP22,83
Actin_BR,49
Actin_ST,69
Arp2_3,49
CP,50
Cdc42,49
Cofilin,22
Coronin,0
Cortactin,17
Dia1,42
Dia2,89
Ena_Vasp,100
IRSp53_Cdc42,49
IRSp53_Rac1,17
LIMK,95
NET1,51
PAK,49
PIP2,50
PKD,83
Profilin,75
ROCK,83
ROS,17
Rac1,17
RhoA,83
SSH,5
Thymosin,0
WASP,75
WAVE,28
