,"activity, %"
ARHGAP22,83
Actin_BR,14
Actin_ST,90
Arp2_3,14
CP,9
Cdc42,48
Cofilin,38
Coronin,43
Cortactin,0
Dia1,91
Dia2,100
Ena_Vasp,66
IRSp53_Cdc42,48
IRSp53_Rac1,0
LIMK,57
NET1,52
PAK,48
PIP2,49
PKD,0
Profilin,98
ROCK,83
ROS,0
Rac1,0
RhoA,100
SSH,43
Thymosin,35
WASP,54
WAVE,0
