,"activity, %"
ARHGAP22,27
Actin_BR,46
Actin_ST,45
Arp2_3,46
CP,24
Cdc42,51
Cofilin,0
Coronin,62
Cortactin,46
Dia1,0
Dia2,83
Ena_Vasp,86
IRSp53_Cdc42,51
IRSp53_Rac1,46
LIMK,38
NET1,39
PAK,61
PIP2,50
PKD,27
Profilin,71
ROCK,27
ROS,46
Rac1,46
RhoA,31
SSH,62
Thymosin,52
WASP,48
WAVE,61
