,"activity, %"
Actin_BR,74
Actin_ST,91
Arp2_3,74
CP,56
Cdc42,50
Cofilin,19
Coronin,0
Cortactin,50
Dia1,20
Dia2,100
Ena_Vasp,83
IRSp53_Cdc42,50
IRSp53_Rac1,50
LIMK,75
PAK,75
PIP2,48
PKD,0
Profilin,96
ROCK,0
Rac1,50
RhoA,50
SSH,0
Thymosin,34
UPSTREAM,50
WASP,66
WAVE,100
