,"activity, %"
Actin_BR,78
Actin_ST,36
Arp2_3,78
CP,99
Cdc42,50
Cofilin,35
Coronin,22
Cortactin,31
Dia1,0
Dia2,87
Ena_Vasp,0
IRSp53,57
LIMK,78
PAK,99
PIP2,53
PKD,69
Profilin,79
ROCK,69
ROCK_,69
Rac1,31
RhoA,71
SSH,22
Thymosin,0
WASP,79
WAVE,31
