,"activity, %"
Actin_BR,38
Actin_ST,47
Arp2_3,38
CP,53
Cdc42,53
Cofilin,27
Coronin,9
Cortactin,0
Dia1,47
Dia2,0
Ena_Vasp,96
IRSp53,53
LIMK,91
PAK,95
PIP2,47
PKD,91
Profilin,63
ROCK,91
ROCK_,91
Rac1,0
RhoA,100
SSH,9
Thymosin,45
WASP,52
WAVE,0
