,"activity, %"
Actin_BR,0
Actin_ST,94
Arp2_3,0
CP,47
Cdc42,51
Cofilin,5
Coronin,55
Cortactin,50
Dia1,26
Dia2,100
Ena_Vasp,0
IRSp53_Cdc42,51
IRSp53_Rac1,50
LIMK,45
PAK,0
PIP2,53
PKD,45
Profilin,97
ROCK,45
Rac1,50
RhoA,50
SSH,55
Thymosin,33
UPSTREAM,50
WASP,67
WAVE,100
