,"activity, %"
ARHGAP22,79
Actin_BR,27
Actin_ST,78
Arp2_3,27
CP,13
Cdc42,48
Cofilin,0
Coronin,11
Cortactin,14
Dia1,73
Dia2,94
Ena_Vasp,94
IRSp53_Cdc42,48
IRSp53_Rac1,14
LIMK,85
NET1,45
PAK,51
PIP2,47
PKD,79
Profilin,88
ROCK,79
ROS,14
Rac1,14
RhoA,83
SSH,11
Thymosin,50
WASP,47
WAVE,0
