,"activity, %"
ARHGAP22,0
Actin_BR,75
Actin_ST,90
Arp2_3,75
CP,0
Cdc42,51
Cofilin,87
Coronin,99
Cortactin,76
Dia1,8
Dia2,59
Ena_Vasp,91
IRSp53_Cdc42,51
IRSp53_Rac1,76
LIMK,1
NET1,21
PAK,79
PIP2,49
PKD,0
Profilin,93
ROCK,0
ROS,76
Rac1,76
RhoA,8
SSH,99
Thymosin,8
WASP,87
WAVE,89
