,"activity, %"
ARHGAP22,0
Actin_BR,55
Actin_ST,70
Arp2_3,55
CP,53
Cdc42,0
Cofilin,59
Coronin,69
Cortactin,55
Dia1,5
Dia2,74
Ena_Vasp,87
IRSp53_Cdc42,0
IRSp53_Rac1,55
LIMK,31
NET1,45
PAK,55
PIP2,51
PKD,15
Profilin,82
ROCK,15
ROS,55
Rac1,55
RhoA,19
SSH,69
Thymosin,20
WASP,75
WAVE,81
