,"activity, %"
ARHGAP22,0
Actin_BR,82
Actin_ST,91
Arp2_3,82
CP,54
Cdc42,49
Cofilin,84
Coronin,96
Cortactin,82
Dia1,6
Dia2,100
Ena_Vasp,87
IRSp53_Cdc42,49
IRSp53_Rac1,82
LIMK,1
NET1,18
PAK,82
PIP2,51
PKD,0
Profilin,91
ROCK,0
ROS,82
Rac1,82
RhoA,27
SSH,96
Thymosin,13
WASP,82
WAVE,90
