,"activity, %"
ARHGAP22,22
Actin_BR,63
Actin_ST,0
Arp2_3,63
CP,100
Cdc42,49
Cofilin,68
Coronin,66
Cortactin,63
Dia1,0
Dia2,88
Ena_Vasp,91
IRSp53_Cdc42,49
IRSp53_Rac1,63
LIMK,34
NET1,36
PAK,64
PIP2,0
PKD,22
Profilin,0
ROCK,22
ROS,63
Rac1,63
RhoA,25
SSH,66
Thymosin,26
WASP,68
WAVE,74
