,"activity, %"
ARHGAP22,92
Actin_BR,32
Actin_ST,79
Arp2_3,32
CP,20
Cdc42,50
Cofilin,23
Coronin,8
Cortactin,8
Dia1,80
Dia2,100
Ena_Vasp,100
IRSp53_Cdc42,50
IRSp53_Rac1,8
LIMK,92
NET1,47
PAK,53
PIP2,50
PKD,92
Profilin,98
ROCK,92
ROS,0
Rac1,8
RhoA,100
SSH,8
Thymosin,46
WASP,54
WAVE,8
