,"activity, %"
ARHGAP22,100
Actin_BR,27
Actin_ST,82
Arp2_3,27
CP,16
Cdc42,49
Cofilin,16
Coronin,0
Cortactin,0
Dia1,84
Dia2,100
Ena_Vasp,100
IRSp53_Cdc42,49
IRSp53_Rac1,0
LIMK,100
NET1,51
PAK,49
PIP2,53
PKD,100
Profilin,98
ROCK,100
ROS,0
Rac1,0
RhoA,100
SSH,0
Thymosin,48
WASP,52
WAVE,0
