,"activity, %"
ARHGAP22,38
Actin_BR,62
Actin_ST,36
Arp2_3,62
CP,62
Cdc42,50
Cofilin,65
Coronin,77
Cortactin,58
Dia1,37
Dia2,81
Ena_Vasp,0
IRSp53_Cdc42,50
IRSp53_Rac1,58
LIMK,23
NET1,28
PAK,72
PIP2,47
PKD,0
Profilin,98
ROCK,38
ROS,58
Rac1,58
RhoA,46
SSH,77
Thymosin,24
WASP,73
WAVE,62
