,"activity, %"
Actin_BR,56
Actin_ST,69
Arp2_3,56
CP,53
Cdc42,52
Cofilin,79
Coronin,92
Cortactin,56
Dia1,0
Dia2,56
Ena_Vasp,89
IRSp53,72
LIMK,2
PAK,72
PIP2,47
PKD,0
Profilin,85
ROCK,0
ROCK_,0
Rac1,56
RhoA,0
SSH,92
Thymosin,9
WASP,86
WAVE,56
