,"activity, %"
ARHGAP22,0
Actin_BR,92
Actin_ST,0
Arp2_3,92
CP,51
Cdc42,48
Cofilin,84
Coronin,100
Cortactin,92
Dia1,11
Dia2,64
Ena_Vasp,94
IRSp53_Cdc42,48
IRSp53_Rac1,92
LIMK,0
NET1,8
PAK,92
PIP2,49
PKD,0
Profilin,0
ROCK,0
ROS,92
Rac1,92
RhoA,16
SSH,100
Thymosin,13
WASP,87
WAVE,100
