,"activity, %"
ARHGAP22,21
Actin_BR,29
Actin_ST,31
Arp2_3,29
CP,29
Cdc42,49
Cofilin,52
Coronin,53
Cortactin,29
Dia1,24
Dia2,73
Ena_Vasp,70
IRSp53_Cdc42,49
IRSp53_Rac1,29
LIMK,43
NET1,36
PAK,64
PIP2,0
PKD,21
Profilin,62
ROCK,21
ROS,29
Rac1,29
RhoA,24
SSH,53
Thymosin,48
WASP,0
WAVE,53
