,"activity, %"
ARHGAP22,21
Actin_BR,46
Actin_ST,77
Arp2_3,46
CP,0
Cdc42,50
Cofilin,51
Coronin,60
Cortactin,48
Dia1,23
Dia2,67
Ena_Vasp,89
IRSp53_Cdc42,50
IRSp53_Rac1,48
LIMK,36
NET1,35
PAK,65
PIP2,53
PKD,21
Profilin,79
ROCK,21
ROS,48
Rac1,48
RhoA,23
SSH,60
Thymosin,28
WASP,70
WAVE,0
