,"activity, %"
ARHGAP22,80
Actin_BR,39
Actin_ST,27
Arp2_3,39
CP,52
Cdc42,48
Cofilin,28
Coronin,17
Cortactin,17
Dia1,0
Dia2,0
Ena_Vasp,99
IRSp53_Cdc42,48
IRSp53_Rac1,17
LIMK,83
NET1,49
PAK,51
PIP2,48
PKD,80
Profilin,45
ROCK,80
ROS,17
Rac1,17
RhoA,85
SSH,17
Thymosin,44
WASP,55
WAVE,22
