,"activity, %"
ARHGAP22,87
Actin_BR,0
Actin_ST,62
Arp2_3,0
CP,50
Cdc42,49
Cofilin,7
Coronin,8
Cortactin,0
Dia1,43
Dia2,95
Ena_Vasp,97
IRSp53_Cdc42,49
IRSp53_Rac1,7
LIMK,91
NET1,49
PAK,50
PIP2,49
PKD,87
Profilin,62
ROCK,87
ROS,7
Rac1,7
RhoA,93
SSH,8
Thymosin,47
WASP,51
WAVE,12
