,"activity, %"
ARHGAP22,86
Actin_BR,35
Actin_ST,80
Arp2_3,35
CP,18
Cdc42,50
Cofilin,12
Coronin,0
Cortactin,14
Dia1,74
Dia2,100
Ena_Vasp,100
IRSp53_Cdc42,50
IRSp53_Rac1,14
LIMK,100
NET1,50
PAK,50
PIP2,48
PKD,86
Profilin,95
ROCK,86
ROS,14
Rac1,14
RhoA,86
SSH,0
Thymosin,51
WASP,49
WAVE,23
