,"activity, %"
ARHGAP22,18
Actin_BR,51
Actin_ST,54
Arp2_3,51
CP,28
Cdc42,50
Cofilin,0
Coronin,63
Cortactin,52
Dia1,21
Dia2,71
Ena_Vasp,81
IRSp53_Cdc42,50
IRSp53_Rac1,52
LIMK,34
NET1,34
PAK,66
PIP2,49
PKD,18
Profilin,85
ROCK,18
ROS,52
Rac1,52
RhoA,21
SSH,63
Thymosin,52
WASP,48
WAVE,73
