,"activity, %"
ARHGAP22,93
Actin_BR,28
Actin_ST,66
Arp2_3,28
CP,51
Cdc42,51
Cofilin,26
Coronin,7
Cortactin,0
Dia1,49
Dia2,100
Ena_Vasp,98
IRSp53_Cdc42,51
IRSp53_Rac1,0
LIMK,93
NET1,0
PAK,51
PIP2,49
PKD,93
Profilin,66
ROCK,93
ROS,0
Rac1,0
RhoA,100
SSH,7
Thymosin,44
WASP,54
WAVE,0
