,"activity, %"
ARHGAP22,29
Actin_BR,0
Actin_ST,68
Arp2_3,0
CP,0
Cdc42,48
Cofilin,17
Coronin,20
Cortactin,11
Dia1,32
Dia2,80
Ena_Vasp,80
IRSp53_Cdc42,48
IRSp53_Rac1,11
LIMK,73
NET1,41
PAK,59
PIP2,0
PKD,29
Profilin,69
ROCK,29
ROS,11
Rac1,11
RhoA,32
SSH,20
Thymosin,61
WASP,37
WAVE,20
