,"activity, %"
ARHGAP22,26
Actin_BR,69
Actin_ST,61
Arp2_3,69
CP,34
Cdc42,51
Cofilin,63
Coronin,65
Cortactin,68
Dia1,29
Dia2,0
Ena_Vasp,94
IRSp53_Cdc42,51
IRSp53_Rac1,69
LIMK,34
NET1,29
PAK,71
PIP2,51
PKD,26
Profilin,96
ROCK,26
ROS,0
Rac1,69
RhoA,29
SSH,65
Thymosin,22
WASP,76
WAVE,83
