,"activity, %"
ARHGAP22,0
Actin_BR,41
Actin_ST,53
Arp2_3,41
CP,51
Cdc42,49
Cofilin,65
Coronin,78
Cortactin,41
Dia1,0
Dia2,41
Ena_Vasp,77
IRSp53_Cdc42,49
IRSp53_Rac1,41
LIMK,3
NET1,41
PAK,59
PIP2,49
PKD,0
Profilin,68
ROCK,0
ROS,41
Rac1,41
RhoA,0
SSH,78
Thymosin,21
WASP,72
WAVE,0
