,"activity, %"
Actin_BR,74
Actin_ST,0
Arp2_3,74
CP,50
Cdc42,51
Cofilin,53
Coronin,55
Cortactin,50
Dia1,25
Dia2,100
Ena_Vasp,90
IRSp53_Cdc42,51
IRSp53_Rac1,50
LIMK,45
PAK,76
PIP2,50
PKD,45
Profilin,0
ROCK,45
Rac1,50
RhoA,50
SSH,55
Thymosin,26
UPSTREAM,50
WASP,74
WAVE,100
