,"activity, %"
Actin_BR,0
Actin_ST,62
Arp2_3,0
CP,50
Cdc42,52
Cofilin,0
Coronin,0
Cortactin,19
Dia1,40
Dia2,87
Ena_Vasp,100
IRSp53,52
LIMK,93
PAK,100
PIP2,50
PKD,81
Profilin,62
ROCK,81
ROCK_,81
Rac1,19
RhoA,81
SSH,7
Thymosin,50
WASP,50
WAVE,19
