,"activity, %"
ARHGAP22,23
Actin_BR,59
Actin_ST,45
Arp2_3,59
CP,31
Cdc42,49
Cofilin,3
Coronin,0
Cortactin,61
Dia1,23
Dia2,73
Ena_Vasp,88
IRSp53_Cdc42,49
IRSp53_Rac1,61
LIMK,95
NET1,36
PAK,64
PIP2,50
PKD,23
Profilin,71
ROCK,23
ROS,61
Rac1,61
RhoA,23
SSH,0
Thymosin,41
WASP,57
WAVE,0
