,"activity, %"
ARHGAP22,19
Actin_BR,53
Actin_ST,50
Arp2_3,53
CP,31
Cdc42,53
Cofilin,55
Coronin,61
Cortactin,0
Dia1,21
Dia2,0
Ena_Vasp,84
IRSp53_Cdc42,53
IRSp53_Rac1,55
LIMK,33
NET1,32
PAK,67
PIP2,48
PKD,19
Profilin,82
ROCK,19
ROS,55
Rac1,55
RhoA,21
SSH,61
Thymosin,32
WASP,63
WAVE,66
