,"activity, %"
ARHGAP22,31
Actin_BR,66
Actin_ST,61
Arp2_3,66
CP,36
Cdc42,50
Cofilin,69
Coronin,82
Cortactin,65
Dia1,34
Dia2,78
Ena_Vasp,76
IRSp53_Cdc42,0
IRSp53_Rac1,65
LIMK,18
NET1,25
PAK,75
PIP2,51
PKD,0
Profilin,99
ROCK,31
ROS,65
Rac1,65
RhoA,39
SSH,82
Thymosin,21
WASP,76
WAVE,68
