,"activity, %"
Actin_BR,66
Actin_ST,44
Arp2_3,66
CP,53
Cdc42,49
Cofilin,71
Coronin,71
Cortactin,66
Dia1,9
Dia2,0
Ena_Vasp,94
IRSp53_Cdc42,49
IRSp53_Rac1,66
LIMK,22
PAK,67
PIP2,48
PKD,21
Profilin,84
ROCK,21
Rac1,66
RhoA,21
SSH,71
Thymosin,14
WASP,81
WAVE,77
