,"activity, %"
ARHGAP22,87
Actin_BR,31
Actin_ST,80
Arp2_3,31
CP,17
Cdc42,48
Cofilin,14
Coronin,0
Cortactin,13
Dia1,75
Dia2,100
Ena_Vasp,100
IRSp53_Cdc42,48
IRSp53_Rac1,0
LIMK,97
NET1,51
PAK,48
PIP2,50
PKD,87
Profilin,96
ROCK,87
ROS,13
Rac1,13
RhoA,87
SSH,3
Thymosin,48
WASP,52
WAVE,13
