,"activity, %"
ARHGAP22,44
Actin_BR,0
Actin_ST,34
Arp2_3,0
CP,49
Cdc42,51
Cofilin,11
Coronin,18
Cortactin,0
Dia1,0
Dia2,49
Ena_Vasp,96
IRSp53_Cdc42,51
IRSp53_Rac1,0
LIMK,82
NET1,49
PAK,51
PIP2,51
PKD,44
Profilin,39
ROCK,44
ROS,0
Rac1,0
RhoA,49
SSH,18
Thymosin,46
WASP,50
WAVE,0
