,"activity, %"
ARHGAP22,0
Actin_BR,60
Actin_ST,47
Arp2_3,60
CP,32
Cdc42,49
Cofilin,78
Coronin,86
Cortactin,60
Dia1,0
Dia2,49
Ena_Vasp,82
IRSp53_Cdc42,49
IRSp53_Rac1,60
LIMK,1
NET1,37
PAK,63
PIP2,48
PKD,0
Profilin,79
ROCK,0
ROS,60
Rac1,60
RhoA,0
SSH,86
Thymosin,13
WASP,79
WAVE,69
