,"activity, %"
ARHGAP22,0
Actin_BR,62
Actin_ST,68
Arp2_3,62
CP,54
Cdc42,49
Cofilin,4
Coronin,0
Cortactin,62
Dia1,0
Dia2,62
Ena_Vasp,75
IRSp53_Cdc42,49
IRSp53_Rac1,62
LIMK,65
NET1,35
PAK,65
PIP2,49
PKD,0
Profilin,75
ROCK,0
ROS,62
Rac1,62
RhoA,0
SSH,0
Thymosin,39
WASP,58
WAVE,75
