,"activity, %"
Actin_BR,68
Actin_ST,88
Arp2_3,68
CP,100
Cdc42,49
Cofilin,71
Coronin,56
Cortactin,50
Dia1,0
Dia2,100
Ena_Vasp,88
IRSp53_Cdc42,49
IRSp53_Rac1,50
LIMK,44
PAK,75
PIP2,0
PKD,44
Profilin,100
ROCK,44
Rac1,50
RhoA,50
SSH,56
Thymosin,19
UPSTREAM,50
WASP,81
WAVE,100
