,"activity, %"
ARHGAP22,100
Actin_BR,24
Actin_ST,83
Arp2_3,24
CP,15
Cdc42,48
Cofilin,15
Coronin,0
Cortactin,0
Dia1,85
Dia2,100
Ena_Vasp,100
IRSp53_Cdc42,48
IRSp53_Rac1,0
LIMK,100
NET1,52
PAK,48
PIP2,48
PKD,100
Profilin,97
ROCK,100
ROS,0
Rac1,0
RhoA,100
SSH,0
Thymosin,52
WASP,48
WAVE,0
