,"activity, %"
ARHGAP22,78
Actin_BR,0
Actin_ST,56
Arp2_3,0
CP,49
Cdc42,51
Cofilin,7
Coronin,12
Cortactin,14
Dia1,36
Dia2,90
Ena_Vasp,95
IRSp53_Cdc42,51
IRSp53_Rac1,14
LIMK,88
NET1,100
PAK,0
PIP2,51
PKD,78
Profilin,56
ROCK,78
ROS,14
Rac1,14
RhoA,86
SSH,12
Thymosin,48
WASP,50
WAVE,0
